seqid,sample,day,status,cage,tx_group,mouse_type,mouse_num
jxe02.001,FMTC1J1d0,0,baseline,C1,E_FMT,Jackson,J1
jxe02.002,FMTC1J2d0,0,baseline,C1,E_FMT,Jackson,J2
jxe02.003,FMTC2E1d0,0,baseline,C2,JxE,Envigo,E1
jxe02.004,FMTC2E2d0,0,baseline,C2,JxE,Envigo,E2
jxe02.005,FMTC2J3d0,0,baseline,C2,JxE,Jackson,J3
jxe02.006,FMTC2J4d0,0,baseline,C2,JxE,Jackson,J4
jxe02.007,FMTC1J1d1,1,post-gavage,C1,E_FMT,Jackson,J1
jxe02.008,FMTC1J2d1,1,post-gavage,C1,E_FMT,Jackson,J2
jxe02.009,FMTC2E1d1,1,co-housed,C2,JxE,Envigo,E1
jxe02.010,FMTC2E2d1,1,co-housed,C2,JxE,Envigo,E2
jxe02.011,FMTC2J3d1,1,co-housed,C2,JxE,Jackson,J3
jxe02.012,FMTC2J4d1,1,co-housed,C2,JxE,Jackson,J4
jxe02.013,FMTC1J1d2,2,post-gavage,C1,E_FMT,Jackson,J1
jxe02.014,FMTC1J2d2,2,post-gavage,C1,E_FMT,Jackson,J2
jxe02.015,FMTC2E1d2,2,co-housed,C2,JxE,Envigo,E1
jxe02.016,FMTC2E2d2,2,co-housed,C2,JxE,Envigo,E2
jxe02.017,FMTC2J3d2,2,co-housed,C2,JxE,Jackson,J3
jxe02.018,FMTC2J4d2,2,co-housed,C2,JxE,Jackson,J4
jxe02.019,FMTC1J1d3,3,post-gavage,C1,E_FMT,Jackson,J1
jxe02.020,FMTC1J2d3,3,post-gavage,C1,E_FMT,Jackson,J2
jxe02.021,FMTC2E1d3,3,co-housed,C2,JxE,Envigo,E1
jxe02.022,FMTC2E2d3,3,co-housed,C2,JxE,Envigo,E2
jxe02.023,FMTC2J3d3,3,co-housed,C2,JxE,Jackson,J3
jxe02.024,FMTC2J4d3,3,co-housed,C2,JxE,Jackson,J4
jxe02.025,FMTC1J1d4,4,post-gavage,C1,E_FMT,Jackson,J1
jxe02.026,FMTC1J2d4,4,post-gavage,C1,E_FMT,Jackson,J2
jxe02.027,FMTC2E1d4,4,co-housed,C2,JxE,Envigo,E1
jxe02.028,FMTC2E2d4,4,co-housed,C2,JxE,Envigo,E2
jxe02.029,FMTC2J3d4,4,co-housed,C2,JxE,Jackson,J3
jxe02.030,FMTC2J4d4,4,co-housed,C2,JxE,Jackson,J4
jxe02.031,FMTC1J1d5,5,post-gavage,C1,E_FMT,Jackson,J1
jxe02.032,FMTC1J2d5,5,post-gavage,C1,E_FMT,Jackson,J2
jxe02.033,FMTC2E1d5,5,co-housed,C2,JxE,Envigo,E1
jxe02.034,FMTC2E2d5,5,co-housed,C2,JxE,Envigo,E2
jxe02.035,FMTC2J3d5,5,co-housed,C2,JxE,Jackson,J3
jxe02.036,FMTC2J4d5,5,co-housed,C2,JxE,Jackson,J4
jxe02.037,FMTC1J1d7,7,post-gavage,C1,E_FMT,Jackson,J1
jxe02.038,FMTC1J2d7,7,post-gavage,C1,E_FMT,Jackson,J2
jxe02.039,FMTC2E1d7,7,co-housed,C2,JxE,Envigo,E1
jxe02.040,FMTC2E2d7,7,co-housed,C2,JxE,Envigo,E2
jxe02.041,FMTC2J3d7,7,co-housed,C2,JxE,Jackson,J3
jxe02.042,FMTC2J4d7,7,co-housed,C2,JxE,Jackson,J4
jxe02.043,FMTC1J1d12,12,post-gavage,C1,E_FMT,Jackson,J1
jxe02.044,FMTC1J2d12,12,post-gavage,C1,E_FMT,Jackson,J2
jxe02.045,FMTC2E1d12,12,co-housed,C2,JxE,Envigo,E1
jxe02.046,FMTC2E2d12,12,co-housed,C2,JxE,Envigo,E2
jxe02.047,FMTC2J3d12,12,co-housed,C2,JxE,Jackson,J3
jxe02.048,FMTC2J4d12,12,co-housed,C2,JxE,Jackson,J4
jxe02.049,FMTC1J1d20,20,post-gavage,C1,E_FMT,Jackson,J1
jxe02.050,FMTC1J2d20,20,post-gavage,C1,E_FMT,Jackson,J2
jxe02.051,FMTC2E1d20,20,co-housed,C2,JxE,Envigo,E1
jxe02.052,FMTC2E2d20,20,co-housed,C2,JxE,Envigo,E2
jxe02.053,FMTC2J3d20,20,co-housed,C2,JxE,Jackson,J3
jxe02.054,FMTC2J4d20,20,co-housed,C2,JxE,Jackson,J4
jxe02.055,FMTC1J1d28,28,post-gavage,C1,E_FMT,Jackson,J1
jxe02.056,FMTC1J2d28,28,post-gavage,C1,E_FMT,Jackson,J2
jxe02.057,FMTC2E1d28,28,co-housed,C2,JxE,Envigo,E1
jxe02.058,FMTC2E2d28,28,co-housed,C2,JxE,Envigo,E2
jxe02.059,FMTC2J3d28,28,co-housed,C2,JxE,Jackson,J3
jxe02.060,FMTC2J4d28,28,co-housed,C2,JxE,Jackson,J4
jxe02.061,FMTC1J1d35,35,post-gavage,C1,E_FMT,Jackson,J1
jxe02.062,FMTC1J2d35,35,post-gavage,C1,E_FMT,Jackson,J2
jxe02.063,FMTC2E1d35,35,co-housed,C2,JxE,Envigo,E1
jxe02.064,FMTC2E2d35,35,co-housed,C2,JxE,Envigo,E2
jxe02.065,FMTC2J3d35,35,co-housed,C2,JxE,Jackson,J3
jxe02.066,FMTC2J4d35,35,co-housed,C2,JxE,Jackson,J4
jxe02.067,FMTC1J1d45,45,post-gavage,C1,E_FMT,Jackson,J1
jxe02.068,FMTC1J2d45,45,post-gavage,C1,E_FMT,Jackson,J2
jxe02.069,FMTC2E1d45,45,co-housed,C2,JxE,Envigo,E1
jxe02.070,FMTC2E2d45,45,co-housed,C2,JxE,Envigo,E2
jxe02.071,FMTC2J3d45,45,co-housed,C2,JxE,Jackson,J3
jxe02.072,FMTC2J4d45,45,co-housed,C2,JxE,Jackson,J4
jxe02.073,FMTC1J1d60,60,post-gavage,C1,E_FMT,Jackson,J1
jxe02.074,FMTC1J2d60,60,post-gavage,C1,E_FMT,Jackson,J2
jxe02.075,FMTC2E1d60,60,co-housed,C2,JxE,Envigo,E1
jxe02.076,FMTC2E2d60,60,co-housed,C2,JxE,Envigo,E2
jxe02.077,FMTC2J3d60,60,co-housed,C2,JxE,Jackson,J3
jxe02.078,FMTC2J4d60,60,co-housed,C2,JxE,Jackson,J4
jxe02.079,FMTC1J1d71,71,post-gavage,C1,E_FMT,Jackson,J1
jxe02.080,FMTC1J2d71,71,post-gavage,C1,E_FMT,Jackson,J2
jxe02.081,FMTC2E1d71,71,co-housed,C2,JxE,Envigo,E1
jxe02.082,FMTC2E2d71,71,co-housed,C2,JxE,Envigo,E2
jxe02.083,FMTC2J3d71,71,co-housed,C2,JxE,Jackson,J3
jxe02.084,FMTC2J4d71,71,co-housed,C2,JxE,Jackson,J4
jxe02.085,FMTC1J1d81,81,post-gavage,C1,E_FMT,Jackson,J1
jxe02.086,FMTC1J2d81,81,post-gavage,C1,E_FMT,Jackson,J2
jxe02.087,FMTC2E1d81,81,co-housed,C2,JxE,Envigo,E1
jxe02.088,FMTC2E2d81,81,co-housed,C2,JxE,Envigo,E2
jxe02.089,FMTC2J3d81,81,co-housed,C2,JxE,Jackson,J3
jxe02.090,FMTC2J4d81,81,co-housed,C2,JxE,Jackson,J4