seqid,sample,day,mouse,mouse_type,cage,tx_type,tx_group
bct02.001,compC1J1d0,0,J1,Jackson,C1,FMT,E_fec_FMT
bct02.002,compC2J1d0,0,J1,Jackson,C2,BCT,dense_cult_BCT
bct02.003,compC3J1d0,0,J1,Jackson,C3,BCT,dil_cult_BCT
bct02.004,compC1J2d0,0,J2,Jackson,C1,FMT,E_fec_FMT
bct02.005,compC2J2d0,0,J2,Jackson,C2,BCT,dense_cult_BCT
bct02.006,compC3J2d0,0,J2,Jackson,C3,BCT,dil_cult_BCT
bct02.007,compC1J3d0,0,J3,Jackson,C1,FMT,E_fec_FMT
bct02.008,compC2J3d0,0,J3,Jackson,C2,BCT,dense_cult_BCT
bct02.009,compC3J3d0,0,J3,Jackson,C3,BCT,dil_cult_BCT
bct02.010,compC1J4d0,0,J4,Jackson,C1,FMT,E_fec_FMT
bct02.011,compC2J4d0,0,J4,Jackson,C2,BCT,dense_cult_BCT
bct02.012,compC3J4d0,0,J4,Jackson,C3,BCT,dil_cult_BCT
bct02.013,compC1J1d5,5,J1,Jackson,C1,FMT,E_fec_FMT
bct02.014,compC2J1d5,5,J1,Jackson,C2,BCT,dense_cult_BCT
bct02.015,compC3J1d5,5,J1,Jackson,C3,BCT,dil_cult_BCT
bct02.016,compC1J2d5,5,J2,Jackson,C1,FMT,E_fec_FMT
bct02.017,compC2J2d5,5,J2,Jackson,C2,BCT,dense_cult_BCT
bct02.018,compC3J2d5,5,J2,Jackson,C3,BCT,dil_cult_BCT
bct02.019,compC1J3d5,5,J3,Jackson,C1,FMT,E_fec_FMT
bct02.020,compC2J3d5,5,J3,Jackson,C2,BCT,dense_cult_BCT
bct02.021,compC3J3d5,5,J3,Jackson,C3,BCT,dil_cult_BCT
bct02.022,compC1J4d5,5,J4,Jackson,C1,FMT,E_fec_FMT
bct02.023,compC2J4d5,5,J4,Jackson,C2,BCT,dense_cult_BCT
bct02.024,compC3J4d5,5,J4,Jackson,C3,BCT,dil_cult_BCT
bct02.025,compC1J1d10,10,J1,Jackson,C1,FMT,E_fec_FMT
bct02.026,compC2J1d10,10,J1,Jackson,C2,BCT,dense_cult_BCT
bct02.027,compC3J1d10,10,J1,Jackson,C3,BCT,dil_cult_BCT
bct02.028,compC1J2d10,10,J2,Jackson,C1,FMT,E_fec_FMT
bct02.029,compC2J2d10,10,J2,Jackson,C2,BCT,dense_cult_BCT
bct02.030,compC3J2d10,10,J2,Jackson,C3,BCT,dil_cult_BCT
bct02.031,compC1J3d10,10,J3,Jackson,C1,FMT,E_fec_FMT
bct02.032,compC2J3d10,10,J3,Jackson,C2,BCT,dense_cult_BCT
bct02.033,compC3J3d10,10,J3,Jackson,C3,BCT,dil_cult_BCT
bct02.034,compC1J4d10,10,J4,Jackson,C1,FMT,E_fec_FMT
bct02.035,compC2J4d10,10,J4,Jackson,C2,BCT,dense_cult_BCT
bct02.036,compC3J4d10,10,J4,Jackson,C3,BCT,dil_cult_BCT
bct02.037,compC1J1d15,15,J1,Jackson,C1,FMT,E_fec_FMT
bct02.038,compC2J1d15,15,J1,Jackson,C2,BCT,dense_cult_BCT
bct02.039,compC3J1d15,15,J1,Jackson,C3,BCT,dil_cult_BCT
bct02.040,compC1J2d15,15,J2,Jackson,C1,FMT,E_fec_FMT
bct02.041,compC2J2d15,15,J2,Jackson,C2,BCT,dense_cult_BCT
bct02.042,compC3J2d15,15,J2,Jackson,C3,BCT,dil_cult_BCT
bct02.043,compC1J3d15,15,J3,Jackson,C1,FMT,E_fec_FMT
bct02.044,compC2J3d15,15,J3,Jackson,C2,BCT,dense_cult_BCT
bct02.045,compC3J3d15,15,J3,Jackson,C3,BCT,dil_cult_BCT
bct02.046,compC1J4d15,15,J4,Jackson,C1,FMT,E_fec_FMT
bct02.047,compC2J4d15,15,J4,Jackson,C2,BCT,dense_cult_BCT
bct02.048,compC3J4d15,15,J4,Jackson,C3,BCT,dil_cult_BCT