Sample,Cluster,MouseGroup,NumberParticles,TotalParticleCluster,ClusterProportion,ParticlesMouseGroupCluster,ClusterProportionMouseGroup,ParticleNumberPerSample,SampleProportion
E5r1,11,Env,38,683,0.0556368960468521,218,0.319180087847731,10828,0.00350942002216476
E5r1,4,Env,98,1359,0.072111846946284,472,0.347314201618837,10828,0.00905060953084596
E5r1,0,Env,26,1830,0.014207650273224,1196,0.653551912568306,10828,0.00240118212042852
E5r1,22,Env,3,159,0.0188679245283019,61,0.383647798742138,10828,0.00027705947543406
E5r1,23,Env,13,138,0.0942028985507246,65,0.471014492753623,10828,0.00120059106021426
E5r1,13,Env,17,637,0.0266875981161695,159,0.249607535321821,10828,0.00157000369412634
E5r1,21,Env,18,178,0.101123595505618,61,0.342696629213483,10828,0.00166235685260436
E5r1,6,Env,16,1048,0.0152671755725191,135,0.12881679389313,10828,0.00147765053564832
E5r1,10,Env,15,760,0.0197368421052632,298,0.392105263157895,10828,0.0013852973771703
E5r1,3,Env,32,1468,0.0217983651226158,221,0.150544959128065,10828,0.00295530107129664
E5r1,12,Env,23,667,0.0344827586206897,197,0.295352323838081,10828,0.00212412264499446
E5r1,7,Env,24,1035,0.0231884057971014,237,0.228985507246377,10828,0.00221647580347248
E5r1,1,Env,20,1648,0.0121359223300971,903,0.547936893203884,10828,0.0018470631695604
E5r1,14,Env,12,616,0.0194805194805195,457,0.741883116883117,10828,0.00110823790173624
E5r1,2,Env,30,1499,0.0200133422281521,862,0.57505003335557,10828,0.0027705947543406
E5r1,17,Env,9,413,0.0217917675544794,139,0.336561743341404,10828,0.00083117842630218
E5r1,18,Env,25,342,0.0730994152046784,113,0.330409356725146,10828,0.0023088289619505
E5r1,8,Env,68,834,0.0815347721822542,301,0.360911270983213,10828,0.00628001477650536
E5r1,15,Env,8,459,0.0174291938997821,107,0.233115468409586,10828,0.00073882526782416
E5r1,16,Env,9,423,0.0212765957446809,231,0.546099290780142,10828,0.00083117842630218
E5r1,20,Env,4,206,0.0194174757281553,70,0.339805825242718,10828,0.00036941263391208
E5r1,5,Env,9,1349,0.00667160859896219,86,0.0637509266123054,10828,0.00083117842630218
E5r1,9,Env,15,791,0.0189633375474083,229,0.289506953223767,10828,0.0013852973771703
E5r1,19,Env,3,303,0.0099009900990099,67,0.221122112211221,10828,0.00027705947543406
E6r1,21,Env,15,178,0.0842696629213483,61,0.342696629213483,15410,0.000973393900064893
E6r1,4,Env,197,1359,0.144959529065489,472,0.347314201618837,15410,0.0127839065541856
E6r1,23,Env,15,138,0.108695652173913,65,0.471014492753623,15410,0.000973393900064893
E6r1,8,Env,116,834,0.139088729016787,301,0.360911270983213,15410,0.00752757949383517
E6r1,9,Env,15,791,0.0189633375474083,229,0.289506953223767,15410,0.000973393900064893
E6r1,18,Env,28,342,0.0818713450292398,113,0.330409356725146,15410,0.0018170019467878
E6r1,10,Env,12,760,0.0157894736842105,298,0.392105263157895,15410,0.000778715120051914
E6r1,13,Env,10,637,0.0156985871271586,159,0.249607535321821,15410,0.000648929266709929
E6r1,14,Env,22,616,0.0357142857142857,457,0.741883116883117,15410,0.00142764438676184
E6r1,6,Env,4,1048,0.00381679389312977,135,0.12881679389313,15410,0.000259571706683971
E6r1,20,Env,5,206,0.0242718446601942,70,0.339805825242718,15410,0.000324464633354964
E6r1,11,Env,94,683,0.137628111273792,218,0.319180087847731,15410,0.00609993510707333
E6r1,2,Env,17,1499,0.0113408939292862,862,0.57505003335557,15410,0.00110317975340688
E6r1,0,Env,14,1830,0.00765027322404372,1196,0.653551912568306,15410,0.0009085009733939
E6r1,3,Env,10,1468,0.00681198910081744,221,0.150544959128065,15410,0.000648929266709929
E6r1,7,Env,14,1035,0.0135265700483092,237,0.228985507246377,15410,0.0009085009733939
E6r1,12,Env,14,667,0.0209895052473763,197,0.295352323838081,15410,0.0009085009733939
E6r1,15,Env,6,459,0.0130718954248366,107,0.233115468409586,15410,0.000389357560025957
E6r1,17,Env,4,413,0.00968523002421308,139,0.336561743341404,15410,0.000259571706683971
E6r1,1,Env,9,1648,0.00546116504854369,903,0.547936893203884,15410,0.000584036340038936
E6r1,16,Env,4,423,0.00945626477541371,231,0.546099290780142,15410,0.000259571706683971
E6r1,5,Env,11,1349,0.00815418828762046,86,0.0637509266123054,15410,0.000713822193380921
E6r1,22,Env,1,159,0.00628930817610063,61,0.383647798742138,15410,0.0000648929266709929
E6r1,19,Env,2,303,0.0066006600660066,67,0.221122112211221,15410,0.000129785853341986
E6r2,4,Env,52,1359,0.0382634289919058,472,0.347314201618837,12123,0.00428936731832055
E6r2,5,Env,8,1349,0.00593031875463306,86,0.0637509266123054,12123,0.000659902664357007
E6r2,23,Env,13,138,0.0942028985507246,65,0.471014492753623,12123,0.00107234182958014
E6r2,22,Env,3,159,0.0188679245283019,61,0.383647798742138,12123,0.000247463499133878
E6r2,21,Env,4,178,0.0224719101123595,61,0.342696629213483,12123,0.000329951332178504
E6r2,10,Env,8,760,0.0105263157894737,298,0.392105263157895,12123,0.000659902664357007
E6r2,20,Env,5,206,0.0242718446601942,70,0.339805825242718,12123,0.00041243916522313
E6r2,1,Env,26,1648,0.0157766990291262,903,0.547936893203884,12123,0.00214468365916027
E6r2,6,Env,13,1048,0.0124045801526718,135,0.12881679389313,12123,0.00107234182958014
E6r2,14,Env,3,616,0.00487012987012987,457,0.741883116883117,12123,0.000247463499133878
E6r2,9,Env,6,791,0.00758533501896334,229,0.289506953223767,12123,0.000494926998267755
E6r2,7,Env,11,1035,0.0106280193236715,237,0.228985507246377,12123,0.000907366163490885
E6r2,8,Env,39,834,0.0467625899280576,301,0.360911270983213,12123,0.00321702548874041
E6r2,2,Env,10,1499,0.0066711140760507,862,0.57505003335557,12123,0.000824878330446259
E6r2,3,Env,30,1468,0.0204359673024523,221,0.150544959128065,12123,0.00247463499133878
E6r2,0,Env,14,1830,0.00765027322404372,1196,0.653551912568306,12123,0.00115482966262476
E6r2,13,Env,12,637,0.0188383045525903,159,0.249607535321821,12123,0.000989853996535511
E6r2,11,Env,24,683,0.0351390922401171,218,0.319180087847731,12123,0.00197970799307102
E6r2,18,Env,16,342,0.0467836257309941,113,0.330409356725146,12123,0.00131980532871401
E6r2,16,Env,8,423,0.0189125295508274,231,0.546099290780142,12123,0.000659902664357007
E6r2,12,Env,12,667,0.0179910044977511,197,0.295352323838081,12123,0.000989853996535511
E6r2,15,Env,1,459,0.00217864923747277,107,0.233115468409586,12123,0.0000824878330446259
E6r2,17,Env,1,413,0.00242130750605327,139,0.336561743341404,12123,0.0000824878330446259
E7r1,14,Env,123,616,0.199675324675325,457,0.741883116883117,25821,0.0047635645404903
E7r1,4,Env,92,1359,0.0676968359087564,472,0.347314201618837,25821,0.00356299136361876
E7r1,17,Env,66,413,0.159806295399516,139,0.336561743341404,25821,0.0025560590217265
E7r1,0,Env,86,1830,0.0469945355191257,1196,0.653551912568306,25821,0.00333062236164362
E7r1,3,Env,56,1468,0.0381471389645777,221,0.150544959128065,25821,0.00216877735176794
E7r1,23,Env,10,138,0.072463768115942,65,0.471014492753623,25821,0.000387281669958561
E7r1,12,Env,45,667,0.0674662668665667,197,0.295352323838081,25821,0.00174276751481352
E7r1,1,Env,119,1648,0.0722087378640777,903,0.547936893203884,25821,0.00460865187250687
E7r1,13,Env,40,637,0.0627943485086342,159,0.249607535321821,25821,0.00154912667983424
E7r1,10,Env,53,760,0.0697368421052632,298,0.392105263157895,25821,0.00205259285078037
E7r1,9,Env,56,791,0.0707964601769911,229,0.289506953223767,25821,0.00216877735176794
E7r1,7,Env,39,1035,0.0376811594202899,237,0.228985507246377,25821,0.00151039851283839
E7r1,8,Env,65,834,0.0779376498800959,301,0.360911270983213,25821,0.00251733085473065
E7r1,6,Env,21,1048,0.0200381679389313,135,0.12881679389313,25821,0.000813291506912978
E7r1,2,Env,42,1499,0.0280186791194129,862,0.57505003335557,25821,0.00162658301382596
E7r1,11,Env,48,683,0.0702781844802343,218,0.319180087847731,25821,0.00185895201580109
E7r1,21,Env,17,178,0.0955056179775281,61,0.342696629213483,25821,0.000658378838929553
E7r1,16,Env,75,423,0.177304964539007,231,0.546099290780142,25821,0.00290461252468921
E7r1,22,Env,19,159,0.119496855345912,61,0.383647798742138,25821,0.000735835172921266
E7r1,15,Env,12,459,0.0261437908496732,107,0.233115468409586,25821,0.000464738003950273
E7r1,5,Env,17,1349,0.0126019273535953,86,0.0637509266123054,25821,0.000658378838929553
E7r1,19,Env,11,303,0.0363036303630363,67,0.221122112211221,25821,0.000426009836954417
E7r1,18,Env,30,342,0.087719298245614,113,0.330409356725146,25821,0.00116184500987568
E7r1,20,Env,18,206,0.087378640776699,70,0.339805825242718,25821,0.00069710700592541
E7r2,0,Env,69,1830,0.0377049180327869,1196,0.653551912568306,17323,0.00398314379726375
E7r2,13,Env,7,637,0.010989010989011,159,0.249607535321821,17323,0.000404087051896323
E7r2,4,Env,25,1359,0.0183958793230316,472,0.347314201618837,17323,0.00144316804248687
E7r2,22,Env,11,159,0.0691823899371069,61,0.383647798742138,17323,0.000634993938694222
E7r2,11,Env,12,683,0.0175695461200586,218,0.319180087847731,17323,0.000692720660393696
E7r2,17,Env,57,413,0.138014527845036,139,0.336561743341404,17323,0.00329042313687006
E7r2,14,Env,106,616,0.172077922077922,457,0.741883116883117,17323,0.00611903250014432
E7r2,23,Env,10,138,0.072463768115942,65,0.471014492753623,17323,0.000577267216994747
E7r2,10,Env,36,760,0.0473684210526316,298,0.392105263157895,17323,0.00207816198118109
E7r2,1,Env,94,1648,0.0570388349514563,903,0.547936893203884,17323,0.00542631183975062
E7r2,19,Env,14,303,0.0462046204620462,67,0.221122112211221,17323,0.000808174103792646
E7r2,16,Env,61,423,0.144208037825059,231,0.546099290780142,17323,0.00352133002366796
E7r2,12,Env,12,667,0.0179910044977511,197,0.295352323838081,17323,0.000692720660393696
E7r2,9,Env,37,791,0.0467762326169406,229,0.289506953223767,17323,0.00213588870288056
E7r2,21,Env,5,178,0.0280898876404494,61,0.342696629213483,17323,0.000288633608497373
E7r2,6,Env,8,1048,0.00763358778625954,135,0.12881679389313,17323,0.000461813773595797
E7r2,7,Env,10,1035,0.00966183574879227,237,0.228985507246377,17323,0.000577267216994747
E7r2,3,Env,8,1468,0.00544959128065395,221,0.150544959128065,17323,0.000461813773595797
E7r2,8,Env,11,834,0.013189448441247,301,0.360911270983213,17323,0.000634993938694222
E7r2,5,Env,15,1349,0.011119347664937,86,0.0637509266123054,17323,0.00086590082549212
E7r2,2,Env,9,1499,0.00600400266844563,862,0.57505003335557,17323,0.000519540495295272
E7r2,18,Env,6,342,0.0175438596491228,113,0.330409356725146,17323,0.000346360330196848
E7r2,20,Env,5,206,0.0242718446601942,70,0.339805825242718,17323,0.000288633608497373
E8r1,2,Env,443,1499,0.295530353569046,862,0.57505003335557,46751,0.00947573313939809
E8r1,14,Env,106,616,0.172077922077922,457,0.741883116883117,46751,0.00226733118008171
E8r1,0,Env,536,1830,0.292896174863388,1196,0.653551912568306,46751,0.0114649954011679
E8r1,1,Env,330,1648,0.200242718446602,903,0.547936893203884,46751,0.00705867254176381
E8r1,12,Env,52,667,0.0779610194902549,197,0.295352323838081,46751,0.00111227567324763
E8r1,16,Env,34,423,0.0803782505910166,231,0.546099290780142,46751,0.000727257170969605
E8r1,13,Env,43,637,0.0675039246467818,159,0.249607535321821,46751,0.000919766422108618
E8r1,7,Env,68,1035,0.0657004830917874,237,0.228985507246377,46751,0.00145451434193921
E8r1,3,Env,43,1468,0.029291553133515,221,0.150544959128065,46751,0.000919766422108618
E8r1,10,Env,104,760,0.136842105263158,298,0.392105263157895,46751,0.00222455134649526
E8r1,6,Env,41,1048,0.0391221374045802,135,0.12881679389313,46751,0.000876986588522171
E8r1,4,Env,8,1359,0.00588668138337013,472,0.347314201618837,46751,0.000171119334345789
E8r1,5,Env,17,1349,0.0126019273535953,86,0.0637509266123054,46751,0.000363628585484802
E8r1,15,Env,51,459,0.111111111111111,107,0.233115468409586,46751,0.00109088575645441
E8r1,9,Env,48,791,0.0606826801517067,229,0.289506953223767,46751,0.00102671600607474
E8r1,19,Env,18,303,0.0594059405940594,67,0.221122112211221,46751,0.000385018502278026
E8r1,22,Env,11,159,0.0691823899371069,61,0.383647798742138,46751,0.00023528908472546
E8r1,23,Env,4,138,0.0289855072463768,65,0.471014492753623,46751,0.0000855596671728947
E8r1,20,Env,17,206,0.0825242718446602,70,0.339805825242718,46751,0.000363628585484802
E8r1,18,Env,4,342,0.0116959064327485,113,0.330409356725146,46751,0.0000855596671728947
E8r1,8,Env,2,834,0.00239808153477218,301,0.360911270983213,46751,0.0000427798335864474
E8r1,21,Env,1,178,0.00561797752808989,61,0.342696629213483,46751,0.0000213899167932237
E8r1,17,Env,2,413,0.00484261501210654,139,0.336561743341404,46751,0.0000427798335864474
E8r1,11,Env,1,683,0.00146412884333821,218,0.319180087847731,46751,0.0000213899167932237
E8r2,14,Env,85,616,0.137987012987013,457,0.741883116883117,39603,0.00214630204782466
E8r2,9,Env,52,791,0.0657395701643489,229,0.289506953223767,39603,0.00131303184102214
E8r2,2,Env,311,1499,0.207471647765177,862,0.57505003335557,39603,0.00785294043380552
E8r2,0,Env,451,1830,0.246448087431694,1196,0.653551912568306,39603,0.0113880261596344
E8r2,1,Env,305,1648,0.185072815533981,903,0.547936893203884,39603,0.00770143675984143
E8r2,7,Env,71,1035,0.0685990338164251,237,0.228985507246377,39603,0.00179279347524177
E8r2,3,Env,42,1468,0.0286103542234332,221,0.150544959128065,39603,0.00106052571774866
E8r2,6,Env,32,1048,0.0305343511450382,135,0.12881679389313,39603,0.000808019594475166
E8r2,12,Env,39,667,0.0584707646176912,197,0.295352323838081,39603,0.000984773880766609
E8r2,10,Env,70,760,0.0921052631578947,298,0.392105263157895,39603,0.00176754286291443
E8r2,15,Env,29,459,0.0631808278867102,107,0.233115468409586,39603,0.000732267757493119
E8r2,13,Env,30,637,0.0470957613814757,159,0.249607535321821,39603,0.000757518369820468
E8r2,20,Env,16,206,0.0776699029126214,70,0.339805825242718,39603,0.000404009797237583
E8r2,22,Env,13,159,0.0817610062893082,61,0.383647798742138,39603,0.000328257960255536
E8r2,19,Env,19,303,0.0627062706270627,67,0.221122112211221,39603,0.00047976163421963
E8r2,16,Env,40,423,0.0945626477541371,231,0.546099290780142,39603,0.00101002449309396
E8r2,5,Env,9,1349,0.00667160859896219,86,0.0637509266123054,39603,0.00022725551094614
E8r2,18,Env,4,342,0.0116959064327485,113,0.330409356725146,39603,0.000101002449309396
E8r2,21,Env,1,178,0.00561797752808989,61,0.342696629213483,39603,0.0000252506123273489
E8r2,11,Env,1,683,0.00146412884333821,218,0.319180087847731,39603,0.0000252506123273489
J1r1,4,Jax,249,1359,0.183222958057395,883,0.649742457689478,21537,0.0115614988159911
J1r1,18,Jax,54,342,0.157894736842105,205,0.599415204678363,21537,0.00250731299623903
J1r1,10,Jax,33,760,0.043421052631579,235,0.309210526315789,21537,0.00153224683103496
J1r1,19,Jax,10,303,0.033003300330033,86,0.283828382838284,21537,0.000464317221525746
J1r1,21,Jax,25,178,0.140449438202247,112,0.629213483146067,21537,0.00116079305381437
J1r1,14,Jax,27,616,0.0438311688311688,126,0.204545454545455,21537,0.00125365649811952
J1r1,0,Jax,52,1830,0.0284153005464481,279,0.152459016393443,21537,0.00241444955193388
J1r1,5,Jax,63,1349,0.0467012601927354,1161,0.860637509266123,21537,0.0029251984956122
J1r1,23,Jax,11,138,0.0797101449275362,69,0.5,21537,0.000510748943678321
J1r1,13,Jax,25,637,0.0392464678178964,148,0.232339089481947,21537,0.00116079305381437
J1r1,6,Jax,30,1048,0.0286259541984733,247,0.235687022900763,21537,0.00139295166457724
J1r1,8,Jax,150,834,0.179856115107914,526,0.630695443645084,21537,0.0069647583228862
J1r1,20,Jax,14,206,0.0679611650485437,65,0.315533980582524,21537,0.000650044110136045
J1r1,7,Jax,31,1035,0.029951690821256,297,0.28695652173913,21537,0.00143938338672981
J1r1,3,Jax,59,1468,0.0401907356948229,317,0.215940054495913,21537,0.0027394716070019
J1r1,1,Jax,26,1648,0.0157766990291262,222,0.134708737864078,21537,0.00120722477596694
J1r1,16,Jax,17,423,0.0401891252955083,68,0.160756501182033,21537,0.000789339276593769
J1r1,22,Jax,10,159,0.0628930817610063,37,0.232704402515723,21537,0.000464317221525746
J1r1,11,Jax,107,683,0.156661786237189,383,0.560761346998536,21537,0.00496819427032549
J1r1,2,Jax,31,1499,0.0206804536357572,208,0.138759172781855,21537,0.00143938338672981
J1r1,17,Jax,12,413,0.0290556900726392,70,0.169491525423729,21537,0.000557180665830896
J1r1,12,Jax,29,667,0.0434782608695652,172,0.257871064467766,21537,0.00134651994242466
J1r1,9,Jax,26,791,0.0328697850821745,230,0.290771175726928,21537,0.00120722477596694
J1r1,15,Jax,3,459,0.0065359477124183,65,0.14161220043573,21537,0.000139295166457724
J1r2,1,Jax,63,1648,0.0382281553398058,222,0.134708737864078,33303,0.00189172146653455
J1r2,0,Jax,64,1830,0.0349726775956284,279,0.152459016393443,33303,0.00192174879140017
J1r2,10,Jax,52,760,0.068421052631579,235,0.309210526315789,33303,0.00156142089301264
J1r2,5,Jax,32,1349,0.0237212750185322,1161,0.860637509266123,33303,0.000960874395700087
J1r2,7,Jax,62,1035,0.0599033816425121,297,0.28695652173913,33303,0.00186169414166892
J1r2,14,Jax,29,616,0.0470779220779221,126,0.204545454545455,33303,0.000870792421103204
J1r2,9,Jax,39,791,0.0493046776232617,230,0.290771175726928,33303,0.00117106566975948
J1r2,15,Jax,28,459,0.0610021786492375,65,0.14161220043573,33303,0.000840765096237576
J1r2,4,Jax,158,1359,0.11626195732156,883,0.649742457689478,33303,0.00474431732876918
J1r2,11,Jax,73,683,0.10688140556369,383,0.560761346998536,33303,0.00219199471519082
J1r2,21,Jax,30,178,0.168539325842697,112,0.629213483146067,33303,0.000900819745968832
J1r2,23,Jax,12,138,0.0869565217391304,69,0.5,33303,0.000360327898387533
J1r2,17,Jax,29,413,0.0702179176755448,70,0.169491525423729,33303,0.000870792421103204
J1r2,20,Jax,16,206,0.0776699029126214,65,0.315533980582524,33303,0.000480437197850044
J1r2,8,Jax,100,834,0.119904076738609,526,0.630695443645084,33303,0.00300273248656277
J1r2,3,Jax,77,1468,0.0524523160762943,317,0.215940054495913,33303,0.00231210401465333
J1r2,6,Jax,41,1048,0.0391221374045802,247,0.235687022900763,33303,0.00123112031949074
J1r2,16,Jax,19,423,0.0449172576832151,68,0.160756501182033,33303,0.000570519172446927
J1r2,13,Jax,35,637,0.0549450549450549,148,0.232339089481947,33303,0.00105095637029697
J1r2,22,Jax,11,159,0.0691823899371069,37,0.232704402515723,33303,0.000330300573521905
J1r2,2,Jax,62,1499,0.0413609072715143,208,0.138759172781855,33303,0.00186169414166892
J1r2,12,Jax,42,667,0.0629685157421289,172,0.257871064467766,33303,0.00126114764435636
J1r2,19,Jax,14,303,0.0462046204620462,86,0.283828382838284,33303,0.000420382548118788
J1r2,18,Jax,44,342,0.128654970760234,205,0.599415204678363,33303,0.00132120229408762
J2r1,5,Jax,553,1349,0.40993328391401,1161,0.860637509266123,35634,0.0155188864567548
J2r1,6,Jax,83,1048,0.0791984732824427,247,0.235687022900763,35634,0.00232923612280406
J2r1,10,Jax,58,760,0.0763157894736842,235,0.309210526315789,35634,0.00162765897738115
J2r1,1,Jax,44,1648,0.0266990291262136,222,0.134708737864078,35634,0.00123477577594432
J2r1,15,Jax,22,459,0.0479302832244009,65,0.14161220043573,35634,0.000617387887972161
J2r1,4,Jax,125,1359,0.0919793966151582,883,0.649742457689478,35634,0.00350788572711455
J2r1,0,Jax,71,1830,0.0387978142076503,279,0.152459016393443,35634,0.00199247909300107
J2r1,21,Jax,22,178,0.123595505617978,112,0.629213483146067,35634,0.000617387887972161
J2r1,19,Jax,23,303,0.0759075907590759,86,0.283828382838284,35634,0.000645450973789078
J2r1,17,Jax,14,413,0.0338983050847458,70,0.169491525423729,35634,0.00039288320143683
J2r1,23,Jax,9,138,0.0652173913043478,69,0.5,35634,0.000252567772352248
J2r1,7,Jax,81,1035,0.0782608695652174,297,0.28695652173913,35634,0.00227310995117023
J2r1,13,Jax,37,637,0.0580847723704867,148,0.232339089481947,35634,0.00103833417522591
J2r1,12,Jax,26,667,0.0389805097451274,172,0.257871064467766,35634,0.000729640231239827
J2r1,20,Jax,12,206,0.058252427184466,65,0.315533980582524,35634,0.000336757029802997
J2r1,11,Jax,45,683,0.0658857979502196,383,0.560761346998536,35634,0.00126283886176124
J2r1,3,Jax,75,1468,0.0510899182561308,317,0.215940054495913,35634,0.00210473143626873
J2r1,8,Jax,80,834,0.0959232613908873,526,0.630695443645084,35634,0.00224504686535331
J2r1,14,Jax,32,616,0.051948051948052,126,0.204545454545455,35634,0.000898018746141326
J2r1,9,Jax,68,791,0.0859671302149178,230,0.290771175726928,35634,0.00190828983555032
J2r1,2,Jax,48,1499,0.0320213475650434,208,0.138759172781855,35634,0.00134702811921199
J2r1,18,Jax,24,342,0.0701754385964912,205,0.599415204678363,35634,0.000673514059605994
J2r1,16,Jax,12,423,0.0283687943262411,68,0.160756501182033,35634,0.000336757029802997
J2r1,22,Jax,6,159,0.0377358490566038,37,0.232704402515723,35634,0.000168378514901499
J2r2,5,Jax,495,1349,0.366938472942921,1161,0.860637509266123,38528,0.0128477990033223
J2r2,12,Jax,35,667,0.0524737631184408,172,0.257871064467766,38528,0.00090843023255814
J2r2,6,Jax,76,1048,0.0725190839694656,247,0.235687022900763,38528,0.00197259136212625
J2r2,4,Jax,108,1359,0.0794701986754967,883,0.649742457689478,38528,0.0028031561461794
J2r2,0,Jax,62,1830,0.033879781420765,279,0.152459016393443,38528,0.00160921926910299
J2r2,23,Jax,11,138,0.0797101449275362,69,0.5,38528,0.000285506644518272
J2r2,13,Jax,34,637,0.0533751962323391,148,0.232339089481947,38528,0.000882475083056478
J2r2,1,Jax,44,1648,0.0266990291262136,222,0.134708737864078,38528,0.00114202657807309
J2r2,21,Jax,11,178,0.0617977528089888,112,0.629213483146067,38528,0.000285506644518272
J2r2,10,Jax,62,760,0.0815789473684211,235,0.309210526315789,38528,0.00160921926910299
J2r2,19,Jax,31,303,0.102310231023102,86,0.283828382838284,38528,0.000804609634551495
J2r2,20,Jax,10,206,0.0485436893203883,65,0.315533980582524,38528,0.000259551495016611
J2r2,11,Jax,47,683,0.068814055636896,383,0.560761346998536,38528,0.00121989202657807
J2r2,9,Jax,68,791,0.0859671302149178,230,0.290771175726928,38528,0.00176495016611296
J2r2,3,Jax,66,1468,0.0449591280653951,317,0.215940054495913,38528,0.00171303986710963
J2r2,7,Jax,73,1035,0.0705314009661836,297,0.28695652173913,38528,0.00189472591362126
J2r2,8,Jax,60,834,0.0719424460431655,526,0.630695443645084,38528,0.00155730897009967
J2r2,22,Jax,6,159,0.0377358490566038,37,0.232704402515723,38528,0.000155730897009967
J2r2,2,Jax,26,1499,0.0173448965977318,208,0.138759172781855,38528,0.000674833887043189
J2r2,14,Jax,20,616,0.0324675324675325,126,0.204545454545455,38528,0.000519102990033223
J2r2,18,Jax,16,342,0.0467836257309941,205,0.599415204678363,38528,0.000415282392026578
J2r2,16,Jax,13,423,0.0307328605200946,68,0.160756501182033,38528,0.000337416943521595
J2r2,17,Jax,7,413,0.0169491525423729,70,0.169491525423729,38528,0.000181686046511628
J2r2,15,Jax,3,459,0.0065359477124183,65,0.14161220043573,38528,0.0000778654485049834
J3r1,11,Jax,52,683,0.0761346998535871,383,0.560761346998536,9422,0.00551899808957758
J3r1,4,Jax,112,1359,0.0824135393671818,883,0.649742457689478,9422,0.011887072808321
