OTU,OTUType,baseMean,log2FoldChange,emergence,OTUcolor
Otu1,Shared Taxa,104.73200290266,-2.0280864617506,depleted,<b style='color:#828382'>Otu1
Otu10,Donor Taxa,10.5768066934236,4.34587026578467,enriched,<b style='color:#377EB8'>Otu10
Otu100,Shared Taxa,1.50855135695047,-0.359984290868532,unchanged,<b style='color:#828382'>Otu100
Otu103,Shared Taxa,1.26866747716393,-0.000566779180865301,unchanged,<b style='color:#828382'>Otu103
Otu107,Donor Taxa,1.65365143391291,0.469236708284671,unchanged,<b style='color:#377EB8'>Otu107
Otu108,Shared Taxa,1.7342352470731,-0.391582495468905,unchanged,<b style='color:#828382'>Otu108
Otu109,Shared Taxa,1.49092037693459,-0.131657436395602,unchanged,<b style='color:#828382'>Otu109
Otu11,Donor Taxa,9.14886366113281,3.31421485164538,enriched,<b style='color:#377EB8'>Otu11
Otu112,Shared Taxa,1.46044708931642,-0.376751216262576,unchanged,<b style='color:#828382'>Otu112
Otu114,Shared Taxa,1.54581163196039,0.475254370884274,unchanged,<b style='color:#828382'>Otu114
Otu115,Shared Taxa,1.2479143822919,-0.000566829035730154,unchanged,<b style='color:#828382'>Otu115
Otu117,Donor Taxa,1.44534067920491,0.00478721300516678,unchanged,<b style='color:#377EB8'>Otu117
Otu118,Shared Taxa,1.23849751344102,-0.524602288249593,unchanged,<b style='color:#828382'>Otu118
Otu12,Recipient Taxa,7.20457628517409,-4.20058784322594,depleted,<b style='color:#E41A1C'>Otu12
Otu121,Donor Taxa,1.81000688445189,0.324324872007872,unchanged,<b style='color:#377EB8'>Otu121
Otu123,Shared Taxa,1.25779654906602,-0.865297909406435,unchanged,<b style='color:#828382'>Otu123
Otu124,Shared Taxa,1.23874178542434,0.21900597762345,unchanged,<b style='color:#828382'>Otu124
Otu127,Recipient Taxa,1.43430289534569,-1.20346883220334,depleted,<b style='color:#E41A1C'>Otu127
Otu129,Donor Taxa,1.62209865243299,0.0233642695908481,unchanged,<b style='color:#377EB8'>Otu129
Otu13,Donor Taxa,12.9177836994614,4.83244598852673,enriched,<b style='color:#377EB8'>Otu13
Otu130,Shared Taxa,1.36905683550798,-0.313305086347721,unchanged,<b style='color:#828382'>Otu130
Otu131,Shared Taxa,1.36599328538765,-0.655266852211703,unchanged,<b style='color:#828382'>Otu131
Otu132,Donor Taxa,1.70723895123572,0.210533867147639,unchanged,<b style='color:#377EB8'>Otu132
Otu136,Shared Taxa,1.31903361016833,-0.70777781987697,unchanged,<b style='color:#828382'>Otu136
Otu137,Shared Taxa,1.15461108015256,0.0554585571257942,unchanged,<b style='color:#828382'>Otu137
Otu138,Shared Taxa,1.45812226216178,0.205279954667347,unchanged,<b style='color:#828382'>Otu138
Otu139,Shared Taxa,1.46823765420947,-0.667145914070438,unchanged,<b style='color:#828382'>Otu139
Otu14,Donor Taxa,6.98772069911177,2.79351967639965,enriched,<b style='color:#377EB8'>Otu14
Otu143,Shared Taxa,1.153409870266,-0.0966325304941431,unchanged,<b style='color:#828382'>Otu143
Otu147,Shared Taxa,1.25347455061463,-0.80451068239678,unchanged,<b style='color:#828382'>Otu147
Otu148,Shared Taxa,1.09134770806289,-0.299540050993609,unchanged,<b style='color:#828382'>Otu148
Otu15,Donor Taxa,11.808042566325,3.38424616195443,enriched,<b style='color:#377EB8'>Otu15
Otu150,Shared Taxa,1.37813986577129,0.253261822534768,unchanged,<b style='color:#828382'>Otu150
Otu153,Shared Taxa,1.2413225121881,0.153967526370672,unchanged,<b style='color:#828382'>Otu153
Otu154,Shared Taxa,1.34563416456953,-0.167439280390569,unchanged,<b style='color:#828382'>Otu154
Otu156,Shared Taxa,1.06893516684909,-0.127375884007317,unchanged,<b style='color:#828382'>Otu156
Otu157,Recipient Taxa,1.36631653397539,-0.96402985902047,unchanged,<b style='color:#E41A1C'>Otu157
Otu16,Donor Taxa,4.27071827260751,3.28214171174407,enriched,<b style='color:#377EB8'>Otu16
Otu161,Donor Taxa,1.62966638261618,0.227889168421711,unchanged,<b style='color:#377EB8'>Otu161
Otu164,Donor Taxa,1.68554293468443,-0.0263198503289328,unchanged,<b style='color:#377EB8'>Otu164
Otu165,Donor Taxa,1.40597965465463,-0.0051168062811777,unchanged,<b style='color:#377EB8'>Otu165
Otu167,Shared Taxa,1.18783717588415,0.117090916569776,unchanged,<b style='color:#828382'>Otu167
Otu168,Shared Taxa,1.13951324053158,-0.487331781849672,unchanged,<b style='color:#828382'>Otu168
Otu169,Shared Taxa,1.26543102356244,-0.397842695163525,unchanged,<b style='color:#828382'>Otu169
Otu17,Recipient Taxa,7.05985872958072,-3.33403384805762,depleted,<b style='color:#E41A1C'>Otu17
Otu170,Shared Taxa,1.44508266717068,0.00749949641172583,unchanged,<b style='color:#828382'>Otu170
Otu172,Shared Taxa,1.10656395340487,0.00247114909934622,unchanged,<b style='color:#828382'>Otu172
Otu178,Shared Taxa,1.10175206972136,-0.265397446873318,unchanged,<b style='color:#828382'>Otu178
Otu18,Donor Taxa,8.7215875206296,4.30631186294639,enriched,<b style='color:#377EB8'>Otu18
Otu180,Shared Taxa,1.12654648707189,-0.43928892005829,unchanged,<b style='color:#828382'>Otu180
Otu181,Shared Taxa,1.10181397584389,-0.00056721647246754,unchanged,<b style='color:#828382'>Otu181
Otu183,Shared Taxa,1.10116416890323,0.0000208519317175972,unchanged,<b style='color:#828382'>Otu183
Otu189,Donor Taxa,1.48189223896437,0.108379262400743,unchanged,<b style='color:#377EB8'>Otu189
Otu19,Donor Taxa,6.37398155555956,2.86955236815659,enriched,<b style='color:#377EB8'>Otu19
Otu192,Shared Taxa,1.29138368749662,-0.802064172792622,unchanged,<b style='color:#828382'>Otu192
Otu2,Donor Taxa,47.5188476040438,5.70217128692936,enriched,<b style='color:#377EB8'>Otu2
Otu20,Recipient Taxa,9.47220757736781,-4.87421634271376,depleted,<b style='color:#E41A1C'>Otu20
Otu21,Donor Taxa,6.10295333789096,2.76849968251877,enriched,<b style='color:#377EB8'>Otu21
Otu22,Recipient Taxa,4.68368510974141,0.638925897636794,unchanged,<b style='color:#E41A1C'>Otu22
Otu23,Recipient Taxa,4.28874574487584,-1.45018028898559,depleted,<b style='color:#E41A1C'>Otu23
Otu24,Donor Taxa,4.74585683939352,1.30719796086576,enriched,<b style='color:#377EB8'>Otu24
Otu25,Donor Taxa,4.66104802201123,2.45694829746708,enriched,<b style='color:#377EB8'>Otu25
Otu26,Recipient Taxa,9.50662212139152,-4.5736791872204,depleted,<b style='color:#E41A1C'>Otu26
Otu27,Recipient Taxa,4.69190223244109,-3.04794883414614,depleted,<b style='color:#E41A1C'>Otu27
Otu28,Donor Taxa,7.03474013780609,4.38299773947437,enriched,<b style='color:#377EB8'>Otu28
Otu29,Donor Taxa,4.51355700403435,3.34861044408968,enriched,<b style='color:#377EB8'>Otu29
Otu3,Donor Taxa,11.0416325983383,3.70324880772511,enriched,<b style='color:#377EB8'>Otu3
Otu30,Recipient Taxa,7.3020116049143,0.381956213860451,unchanged,<b style='color:#E41A1C'>Otu30
Otu31,Donor Taxa,3.78031411853195,2.75290928683644,enriched,<b style='color:#377EB8'>Otu31
Otu32,Donor Taxa,5.58904050378976,3.82520010689158,enriched,<b style='color:#377EB8'>Otu32
Otu33,Recipient Taxa,5.91873747800946,-1.51469257094282,depleted,<b style='color:#E41A1C'>Otu33
Otu34,Donor Taxa,4.67713449084423,3.24019974813863,enriched,<b style='color:#377EB8'>Otu34
Otu35,Recipient Taxa,3.83592656927492,-3.45021749891505,depleted,<b style='color:#E41A1C'>Otu35
Otu36,Donor Taxa,6.10575259171788,2.82901570015259,enriched,<b style='color:#377EB8'>Otu36
Otu37,Donor Taxa,5.17202583439079,3.00514378953938,enriched,<b style='color:#377EB8'>Otu37
Otu38,Donor Taxa,2.42177344461518,1.92911847591611,enriched,<b style='color:#377EB8'>Otu38
Otu39,Donor Taxa,4.75657553299868,2.04324108185494,enriched,<b style='color:#377EB8'>Otu39
Otu4,Recipient Taxa,33.1426673464798,-4.41990027974817,depleted,<b style='color:#E41A1C'>Otu4
Otu40,Recipient Taxa,3.22577028178802,-2.64802522050385,depleted,<b style='color:#E41A1C'>Otu40
Otu41,Donor Taxa,4.60172229643274,2.91161956439226,enriched,<b style='color:#377EB8'>Otu41
Otu43,Recipient Taxa,3.92266267964222,-2.00760532434723,depleted,<b style='color:#E41A1C'>Otu43
Otu44,Donor Taxa,5.63275603919184,1.58524650754128,enriched,<b style='color:#377EB8'>Otu44
Otu45,Donor Taxa,4.17484184036585,-1.04521687037289,depleted,<b style='color:#377EB8'>Otu45
Otu46,Shared Taxa,2.07009028706167,0.488366060159397,unchanged,<b style='color:#828382'>Otu46
Otu47,Donor Taxa,4.50513956001025,0.00629927243948729,unchanged,<b style='color:#377EB8'>Otu47
Otu48,Recipient Taxa,2.80433663127621,-2.2913364804465,depleted,<b style='color:#E41A1C'>Otu48
Otu49,Donor Taxa,3.21698696639157,0.937199489408348,unchanged,<b style='color:#377EB8'>Otu49
Otu5,Recipient Taxa,36.5933945339185,-0.913146698994111,unchanged,<b style='color:#E41A1C'>Otu5
Otu50,Recipient Taxa,2.6726056785744,-1.76907785924758,depleted,<b style='color:#E41A1C'>Otu50
Otu51,Recipient Taxa,3.96194243559626,-2.85318468549471,depleted,<b style='color:#E41A1C'>Otu51
Otu52,Donor Taxa,2.88391091858962,2.28641744912276,enriched,<b style='color:#377EB8'>Otu52
Otu53,Donor Taxa,3.22988028939275,1.13330243914082,enriched,<b style='color:#377EB8'>Otu53
Otu54,Shared Taxa,3.31013277616662,-0.206667376424481,unchanged,<b style='color:#828382'>Otu54
Otu55,Recipient Taxa,4.17485743755044,-2.30071733769911,depleted,<b style='color:#E41A1C'>Otu55
Otu56,Shared Taxa,1.80484619445204,-0.984312537215686,unchanged,<b style='color:#828382'>Otu56
Otu59,Recipient Taxa,1.87073417652841,-1.92933411899699,depleted,<b style='color:#E41A1C'>Otu59
Otu6,Donor Taxa,22.5120555586013,5.14585451100501,enriched,<b style='color:#377EB8'>Otu6
Otu60,Shared Taxa,1.75912863739567,-0.000566320954155255,unchanged,<b style='color:#828382'>Otu60
Otu61,Recipient Taxa,2.24231642289468,-2.24546404914735,depleted,<b style='color:#E41A1C'>Otu61
Otu63,Donor Taxa,2.99877061303043,0.11174423717399,unchanged,<b style='color:#377EB8'>Otu63
Otu64,Shared Taxa,1.81997851461992,1.30908017020464,enriched,<b style='color:#828382'>Otu64
Otu65,Donor Taxa,2.5068409980074,-0.0399341677741423,unchanged,<b style='color:#377EB8'>Otu65
Otu66,Donor Taxa,2.19098680475957,1.25716359684549,enriched,<b style='color:#377EB8'>Otu66
Otu68,Shared Taxa,1.77832500158178,1.78969315655215,enriched,<b style='color:#828382'>Otu68
Otu69,Donor Taxa,1.8867352517681,0.0192073981507558,unchanged,<b style='color:#377EB8'>Otu69
Otu7,Donor Taxa,25.0739954875777,6.41399976886852,enriched,<b style='color:#377EB8'>Otu7
Otu70,Shared Taxa,1.7793919245809,0.0678048259891037,unchanged,<b style='color:#828382'>Otu70
Otu71,Shared Taxa,2.00531362225215,-0.571274913781654,unchanged,<b style='color:#828382'>Otu71
Otu72,Recipient Taxa,1.77400372361165,-1.75914435405101,depleted,<b style='color:#E41A1C'>Otu72
Otu73,Shared Taxa,1.92150130447444,-0.728785267932343,unchanged,<b style='color:#828382'>Otu73
Otu74,Shared Taxa,1.27236276762266,-0.000566765412916753,unchanged,<b style='color:#828382'>Otu74
Otu75,Donor Taxa,1.85756445935631,0.0797210597994183,unchanged,<b style='color:#377EB8'>Otu75
Otu77,Shared Taxa,2.03583024911353,1.81944701098037,enriched,<b style='color:#828382'>Otu77
Otu78,Shared Taxa,1.89713546550224,1.68040706890436,enriched,<b style='color:#828382'>Otu78
Otu79,Recipient Taxa,1.57197451499158,-1.31994144366143,depleted,<b style='color:#E41A1C'>Otu79
Otu8,Recipient Taxa,20.6844125427456,-5.53012598800452,depleted,<b style='color:#E41A1C'>Otu8
Otu80,Shared Taxa,1.81741504725261,0.17607427101989,unchanged,<b style='color:#828382'>Otu80
Otu81,Shared Taxa,2.30821739997973,1.44320797678034,enriched,<b style='color:#828382'>Otu81
Otu82,Donor Taxa,1.73267459435057,0.527062855795262,unchanged,<b style='color:#377EB8'>Otu82
Otu83,Donor Taxa,2.47333725515968,0.250421824082477,unchanged,<b style='color:#377EB8'>Otu83
Otu84,Shared Taxa,1.52431158166556,0.0951905482483558,unchanged,<b style='color:#828382'>Otu84
Otu85,Shared Taxa,2.35854038120389,2.0078731493104,enriched,<b style='color:#828382'>Otu85
Otu86,Shared Taxa,1.47928291519977,0.183717195744544,unchanged,<b style='color:#828382'>Otu86
Otu87,Shared Taxa,1.46669061631304,0.711674103637015,unchanged,<b style='color:#828382'>Otu87
Otu88,Shared Taxa,2.04531328009424,-1.83557429600991,depleted,<b style='color:#828382'>Otu88
Otu89,Donor Taxa,1.87626912856632,0.0172334823123783,unchanged,<b style='color:#377EB8'>Otu89
Otu90,Recipient Taxa,1.70673739253465,-1.77169576749467,depleted,<b style='color:#E41A1C'>Otu90
Otu91,Recipient Taxa,2.0903867649465,-2.02512910979307,depleted,<b style='color:#E41A1C'>Otu91
Otu92,Donor Taxa,1.82537451839286,-0.000566250517217934,unchanged,<b style='color:#377EB8'>Otu92
Otu93,Shared Taxa,1.82196252915548,-1.53295074238576,depleted,<b style='color:#828382'>Otu93
Otu94,Recipient Taxa,2.06375506316145,-1.5973050069815,depleted,<b style='color:#E41A1C'>Otu94
Otu96,Shared Taxa,2.3214840636169,0.383219533532217,unchanged,<b style='color:#828382'>Otu96
Otu98,Shared Taxa,1.71938189306248,0.608042411297401,unchanged,<b style='color:#828382'>Otu98
Otu99,Recipient Taxa,1.8070729516738,-1.74084057008498,depleted,<b style='color:#E41A1C'>Otu99
